"my.stations","my.replicates","my.years","Species","D","Dstar","Lambda","Dplus","sd.Dplus","SDplus","ED","EDstar","EDplus"
"Kraimorie","a","2013",31,76.0517971204717,86.9481513778812,398.733188273871,86.8754659569934,1.79524966583536,2693.1394446668,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","b","2013",29,72.0524392376417,87.8661074004371,417.396016637631,86.4824448645955,1.8742139135164,2507.99090107327,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","c","2013",33,75.3539523698109,86.7252211805952,466.799959126562,83.423851792691,1.72477676915302,2752.9871091588,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","a","2013",31,71.7862880497572,85.3758249797994,443.900571067394,84.2665734264907,1.79524966583536,2612.26377622121,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","b","2013",28,68.4132389945016,87.9653872274348,359.77857858284,87.9179659421248,1.9174251081919,2461.70304637949,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","c","2013",28,77.9266422936885,90.0920654611922,374.721926201472,87.4820794482022,1.9174251081919,2449.49822454966,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","a","2014",25,72.3746739496939,89.663192664711,391.498237584747,85.6522264016546,2.06541828134887,2141.30566004137,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","b","2014",37,76.9543070260726,90.3773990607365,449.549678100266,85.167914016109,1.60400887486642,3151.21281859603,84.5274396637853,84.36151309048,86.5900780282253
"Kraimorie","c","2014",32,75.4437043455535,89.0111667041514,371.613007920883,87.683478698102,1.75904729190835,2805.87131833926,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","a","2013",20,64.4899180412417,78.6628901452916,445.880697823976,84.8268011370694,2.39991630604084,1696.53602274139,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","b","2013",35,73.2489171074613,81.9106338268233,402.540115065473,86.1780378808194,1.66139662331066,3016.23132582868,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","c","2013",30,76.5243702756379,87.1716197465852,393.273673654379,86.4385519339475,1.83356859244272,2593.15655801842,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","a","2013",29,79.5770676928084,87.6862431807758,388.007784462357,86.85267245077,1.8742139135164,2518.72750107233,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","b","2013",26,66.0053719345917,76.8785514974452,465.917071198549,83.6543299105983,2.01268554511575,2175.01257767556,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","c","2013",23,76.5408533962658,87.2315541301516,472.215774274648,83.4663013784334,2.1832416622261,1919.72493170397,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","a","2014",34,83.6520426005372,91.3570207597796,354.348853284266,88.6222932935542,1.69227483850791,3013.15797198084,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","b","2014",34,81.1308269860759,90.9564560213247,347.830253859739,88.2895503148612,1.69227483850791,3001.84471070528,84.5274396637853,84.36151309048,86.5900780282253
"Chukalya","c","2014",32,80.2705069746944,91.7163047202314,329.764494578241,89.05681090865,1.75904729190835,2849.8179490768,84.5274396637853,84.36151309048,86.5900780282253
"Akin","a","2013",23,62.1475196533463,95.6756734647592,331.880354581788,88.6986834147108,2.1832416622261,2040.06971853835,84.5274396637853,84.36151309048,86.5900780282253
"Akin","b","2013",26,63.6851371779341,93.2912546752365,380.136735838169,86.2555708942248,2.01268554511575,2242.64484324985,84.5274396637853,84.36151309048,86.5900780282253
"Akin","c","2013",21,54.9534565305105,94.7909692284387,400.406325527158,86.1583832114148,2.32136992149674,1809.32604743971,84.5274396637853,84.36151309048,86.5900780282253
"Akin","a","2013",26,69.8582842951249,89.3644953363884,326.200515461018,87.8941045484298,2.01268554511575,2285.24671825918,84.5274396637853,84.36151309048,86.5900780282253
"Akin","b","2013",23,70.4438534715136,92.6105799708881,350.778875483038,87.347809312529,2.1832416622261,2008.99961418817,84.5274396637853,84.36151309048,86.5900780282253
"Akin","c","2013",25,67.4713711007111,91.0137722202342,325.33502722185,88.0245320558998,2.06541828134887,2200.61330139749,84.5274396637853,84.36151309048,86.5900780282253
"Akin","a","2014",21,57.2662268794083,92.2449130268209,265.339958580654,89.8415774138129,2.32136992149674,1886.67312569007,84.5274396637853,84.36151309048,86.5900780282253
"Akin","b","2014",27,65.7825159773535,93.6915588958867,332.422854965723,88.6018085560632,1.96347679934262,2392.24883101371,84.5274396637853,84.36151309048,86.5900780282253
"Akin","c","2014",24,74.3651989352044,93.1888086505259,319.672128725215,88.8358035076013,2.1221029049288,2132.05928418243,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","a","2013",20,21.6399569910965,94.6152369635517,360.290491614615,87.9708928166916,2.39991630604084,1759.41785633383,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","b","2013",15,33.8241174843545,94.8347953285696,309.4775151494,88.9439638094484,2.9375600561593,1334.15945714173,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","c","2013",17,27.5964436468947,93.2298705096289,313.149562759164,88.8491281430497,2.68671501778379,1510.43517843184,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","a","2013",19,29.147940736116,95.5835397011463,387.054124541483,86.8720313872119,2.48609763225979,1650.56859635703,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","b","2013",21,45.2654365093444,93.3127598848607,354.446056955376,86.927901551061,2.32136992149674,1825.48593257228,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","c","2013",17,22.7119704585673,93.9862808238299,269.543531453809,89.8319305906639,2.68671501778379,1527.14282004129,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","a","2014",18,59.0579919684157,93.9459599325209,278.744495638923,89.1106850534353,2.58117595627095,1603.99233096184,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","b","2014",22,58.5320747773534,90.7893243225661,286.07794996366,89.4531921901098,2.24942825372462,1967.97022818241,84.5274396637853,84.36151309048,86.5900780282253
"Sozopol","c","2014",24,50.5760862046669,95.5366994407358,327.131013737599,89.7125895070228,2.1221029049288,2153.10214816855,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","a","2013",37,77.618178457952,86.0299976326178,508.655193378499,80.1717959214662,1.60400887486642,2966.35644909425,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","b","2013",35,77.8797732130931,85.9741303528804,432.426373723298,84.4839687503084,1.66139662331066,2956.93890626079,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","c","2013",43,75.7829950627061,88.0813412501504,481.197303611112,80.8228896913991,1.45981755049302,3475.38425673016,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","a","2013",38,78.8609947143521,86.9211233356827,423.336569156322,84.1186401618982,1.57728057055199,3196.50832615213,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","b","2013",38,77.0662970925894,84.4738586452301,422.929695770209,82.8533889987447,1.57728057055199,3148.4287819523,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","c","2013",38,78.9712690904514,85.6460389593791,478.486392635225,81.5355221269872,1.57728057055199,3098.34984082551,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","a","2014",40,77.8201810404234,86.3345547496123,414.088564568547,84.7652383651232,1.52728860084869,3390.60953460493,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","b","2014",40,75.1022743585413,86.747674960472,449.325196944699,83.5395569855235,1.52728860084869,3341.58227942094,84.5274396637853,84.36151309048,86.5900780282253
"Agalina","c","2014",43,67.6058075072572,88.8675136068223,419.489974792782,84.2577347492761,1.45981755049302,3623.08259421887,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","a","2013",28,64.0730814875969,90.8023971567628,322.206583775109,88.9143105259819,1.9174251081919,2489.60069472749,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","b","2013",25,73.3778463522995,93.188257973747,348.086202187877,87.6745417357939,2.06541828134887,2191.86354339485,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","c","2013",36,71.988645706879,92.6049890556528,332.992137095515,89.21975480687,1.63201308187142,3211.91117304732,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","a","2013",30,60.6110350427179,90.2898833658382,417.376771421724,86.0794762278988,1.83356859244272,2582.38428683696,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","b","2013",31,72.7093551569417,89.9644716533899,376.161124192008,86.8978431279664,1.79524966583536,2693.83313696696,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","c","2013",28,61.3508521519971,91.5719155773159,337.388860889498,88.986013551775,1.9174251081919,2491.6083794497,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","a","2014",27,35.0384133964571,87.8685306437056,368.112520226503,88.130564250575,1.96347679934262,2379.52523476553,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","b","2014",23,58.7578650474756,87.5026331544583,395.788214023176,87.8001687000893,2.1832416622261,2019.40388010205,84.5274396637853,84.36151309048,86.5900780282253
"Paraskeva","c","2014",23,70.2684043455042,91.6945845404628,342.197614240281,88.3970555390034,2.1832416622261,2033.13227739708,84.5274396637853,84.36151309048,86.5900780282253
